code,titles,optionA,optionB,optionCD,optionE,eligible
5330 Construction and building trades supervisors,• Builder’s foreman • Construction foreman • Construction supervisor • Maintenance supervisor • Site foreman,"£38,100 (£19.54 per hour)","£34,290 (£17.58 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5411 Upholsterers,• Curtain fitter • Curtain maker • Soft furnisher • Trimmer (furniture mfr) • Upholsterer,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
"5412 Footwear
and leather working trades","• Cobbler
• Leather worker (leather goods mfr)
• Machinist (leather goods mfr)
• Shoe machinist
• Shoe repairer","£30,960
(£15.88 per
hour)","£30,960
(£15.88 per
hour)","£30,960
(£15.88 per
hour)","£30,960
(£15.88 per
hour)",No
5413 Tailors and dressmakers,"• Costume maker • Cutter (hosiery, knitwear mfr) • Dressmaker • Pattern Cutter • Tailor • Tailoress","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
"5419 Textiles, garments and related trades not elsewhere classified",• Clothing manufacturer • Embroiderer • Hand sewer • Knitter • Sail maker • Weaver • Upholstery cutter,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5421 Pre-press technicians,• Compositor • Plate maker • Pre-press manager • Pre-press technician • Type setter,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5422 Printers,• Digital printer • Lithographic printer • Machine minder (printing) • Print technician • Screen printer • Wallpaper printer,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5423 Print finishing and binding workers,• Binder’s assistant • Book binder • Finishing supervisor (printing) • Print finisher • Retoucher (film processing),"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5431 Butchers,"• Butcher
• Butcher’s assistant
• Butchery manager
• Master butcher

• Slaughterman","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5432 Bakers and flour confectioners,• Baker • Baker’s assistant • Bakery manager • Cake decorator • Confectioner,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5433 Fishmongers and poultry dressers,"• Butcher (fish, poultry) • Filleter (fish) • Fish processor • Fishmonger • Poultry processor • Process worker (fish, poultry)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5434 Chefs,• Chef • Chef-manager • Food stylist • Head chef • Pastry chef,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5436 Catering and bar managers,• Bar manager • Catering manager • Floor manager (restaurant) • Kitchen manager • Steward (club),"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
"5441 Glass and ceramics makers, decorators and finishers",• Ceramic artist • Glass blower • Potter (ceramics mfr) • Pottery worker • Sprayer (ceramics mfr) • Stained glass artist,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5442 Furniture makers and other craft woodworkers,• Antiques restorer • Cabinet maker • Coffin maker • Furniture restorer • Joiner (cabinet making) • Picture framer • Sprayer (furniture mfr),"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5443 Florists,"• Floral assistant
• Floral designer
• Florist
• Flower arranger","£30,960
(£15.88 per
hour)","£30,960
(£15.88 per
hour)","£30,960
(£15.88 per
hour)","£30,960
(£15.88 per
hour)",No
5449 Other skilled trades not elsewhere classified,• Diamond mounter • Engraver • Goldsmith • Paint sprayer • Piano tuner • Sign maker (electric signs) • Silversmith • Wig maker,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
6111 Early education and childcare assistants,• Child care assistant • Crèche assistant • Nursery assistant • Nursery nurse • Playgroup assistant • Pre-school assistant,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
6114 Childminders,• Baby sitter • Childminder • Mother’s help • Nurse maid,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
6117 Playworkers,• Afterschool club coordinator • Play leader • Playworker • School club leader,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
6129 Animal care services occupations not elsewhere classified,• Animal technician • Canine beautician • Dog walker • Groom • Kennel assistant • Stable hand • Veterinary nursing assistant,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
6134 Houseparents and residential wardens,• Foster carer • House matron • House parent • Residential care officer • Warden (care/residential home),"£31,200 (£16.00 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
"6135 Care workers and
home carers –
Jobs with a
working location
in England are
only eligible in
this SOC 2020
occupation code
where the sponsor
holds registration
with the Care
Quality
Commission and
is currently
carrying on a
regulated activity.

Note: private
households or
individuals (other
than sole traders
sponsoring
someone to work
for their business)
cannot sponsor
Skilled Worker
applicants.","• Care assistant
• Carer
• Child care worker
• Home care assistant
• Home carer
• Support worker (nursing home)","£30,960 (£15.88
per
hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
"6136 Senior care workers – Jobs with a working location in England are only eligible in this SOC 2020 occupation code where the sponsor holds registration
with the Care
Quality
Commission and
is currently
carrying on a
regulated activity.","• Care coordinator (care/residential home)
• Senior care assistant
• Senior carer
• Senior support worker (local government: welfare services) • Team leader (nursing home)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)"
6213 Air travel assistants,• Air hostess • Cabin crew • Customer service agent (travel) • Flight attendant • Passenger service agent,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
6214 Rail travel assistants,• Conductor (railways) • Station assistant (underground railway) • Station supervisor • Ticket inspector (railways) • Train conductor • Train manager,"£36,100 (£18.51 per hour)","£32,490 (£16.66 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
6311 Police community support officers,• Civilian support officer (police service) • Community support officer (police service) • Police community support officer,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
7124 Market and street traders and assistants,• Market assistant • Market trader • Owner (market stall) • Stall holder • Street trader,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
7131 Shopkeepers and owners - retail and wholesale,"• Antiques dealer
• Fashion retailer
• Greengrocer
• Jeweller (retail trade)
• Newsagent
• Shopkeeper","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
7132 Sales supervisors - retail and wholesale,"• Bakery manager (retail trade) • Check-out supervisor • Section manager (retail trade) • Shop supervisor (retail trade) • Supervisor (retail, wholesale trade) • Team leader (retail trade)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
7214 Market research interviewers,• Interviewer (market research) • Market researcher (interviewing) • Mystery shopper • Telephone interviewer • Telephone researcher • Traffic enumerator,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
7220 Customer service supervisors,• Call centre supervisor • Communications supervisor (air transport) • Customer service supervisor • Team leader (call centre),"£31,800 (£16.31 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
8113 Chemical and related process operatives,• Chemical process operator • Gas producer operator • Process technician (chemical mfr) • Process worker (cement mfr) • Process worker (nuclear fuel production),"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
8133 Energy plant operatives,• Boilerman • Control room operator (electric) • Hydraulic engineman • Plant operator (electricity supplier) • Power station operator,"£35,100 (£18.00 per hour)","£31,590 (£16.20 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
8134 Water and sewerage plant operatives,• Controller (water treatment) • Plant operator (sewage works) • Pump attendant • Water treatment engineer • Water treatment operator,"£32,400 (£16.62 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
8143 Routine inspectors and testers,"• Quality assurance inspector
• Quality auditor
• Quality controller
• Quality inspector
• Test engineer","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
8215 Driving instructors,"• Cycling instructor
• Driving instructor
• HGV instructor
• Instructor (driving school) • Motorcycle instructor","£32,100 (£16.46 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
8232 Marine and waterways transport operatives,"• Deck hand (shipping)
• Engine room attendant (shipping)
• Engineer (nos: boat, barge) • Ferryman
• Merchant seaman
• Seaman (shipping)","£53,200 (£27.28 per hour)","£47,880 (£24.55 per hour)","£42,560 (£21.83 per hour)","£37,240 (£19.10 per hour)",No
9119 Fishing and other elementary agriculture occupations not elsewhere classified - ONLY the listed job titles are eligible in this SOC 2020 occupation code and ONLY where the job Only where the job requires the worker to have at least 3 years’ full- time experience in using their skills. This experience must not have been gained through working illegally.,"• Vent chick sexer
• Deckhand on large fishing vessel (9 metres and above)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
9249 Elementary sales occupations not elsewhere classified,"• Code controller (wholesale, retail trade)
• Home shopper
• Internet shopper (retail trade) • Order picker (retail trade)
• Porter (retail trade) • Trolley assistant","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
